[INFO] [1644574471.270390064] [usb_cam]: camera_name value: default_cam
[WARN] [1644574471.270653823] [usb_cam]: framerate: 10.000000
[INFO] [1644574471.277318101] [usb_cam]: using default calibration URL
[INFO] [1644574471.277466971] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[WARN] [1644574471.299147230] [camera_calibration_parsers]: Exception parsing YAML camera calibration:
yaml-cpp: error at line 177, column 65: illegal map value
[ERROR] [1644574471.299251378] [camera_calibration_parsers]: Failed to parse camera calibration from file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574471.299312989] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574471.299421934] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574471.788798792] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574471.813607217] [usb_cam]: Set framerate to be 10
[INFO] [1644574471.826293439] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574471.826486828] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574471.838047031] [usb_cam]:   1 1 / 20
[INFO] [1644574471.838097717] [usb_cam]:   1 1 / 15
[INFO] [1644574471.838148050] [usb_cam]:   1 1 / 10
[INFO] [1644574471.838198550] [usb_cam]:   1 1 / 5
[INFO] [1644574471.838252198] [usb_cam]:   width: 1184 x height: 656
[INFO] [1644574471.838304568] [usb_cam]:   1 1 / 30
[INFO] [1644574471.838391124] [usb_cam]:   1 1 / 25
[INFO] [1644574471.838445068] [usb_cam]:   1 1 / 20
[INFO] [1644574471.838496365] [usb_cam]:   1 1 / 15
[INFO] [1644574471.838548457] [usb_cam]:   1 1 / 10
[INFO] [1644574471.838599939] [usb_cam]:   1 1 / 5
[INFO] [1644574471.838654680] [usb_cam]:   width: 1280 x height: 720
[INFO] [1644574471.838707828] [usb_cam]:   1 1 / 30
[INFO] [1644574471.838758791] [usb_cam]:   1 1 / 25
[INFO] [1644574471.838809957] [usb_cam]:   1 1 / 20
[INFO] [1644574471.838861068] [usb_cam]:   1 1 / 15
[INFO] [1644574471.838912383] [usb_cam]:   1 1 / 10
[INFO] [1644574471.838963105] [usb_cam]:   1 1 / 5
[INFO] [1644574471.839017698] [usb_cam]:   width: 1280 x height: 960
[INFO] [1644574471.839070828] [usb_cam]:   1 1 / 30
[INFO] [1644574471.839121754] [usb_cam]:   1 1 / 25
[INFO] [1644574471.839172717] [usb_cam]:   1 1 / 20
[INFO] [1644574471.839224642] [usb_cam]:   1 1 / 15
[INFO] [1644574471.839275568] [usb_cam]:   1 1 / 10
[INFO] [1644574471.839326513] [usb_cam]:   1 1 / 5
[INFO] [1644574471.839489161] [usb_cam]: starting timer 100
[INFO] [1644574499.327877347] [rclcpp]: signal_handler(signal_value=2)
